water_depth_m,u_mid_m,Ky_N_per_m,Ky_kN_per_m
160.1,-49.5,1073006.034,1073.006034
160.1,-48.5,1080562.578,1080.562578
160.1,-47.5,1088320.116,1088.320116
160.1,-46.5,1096286.57,1096.28657
160.1,-45.5,1104470.153,1104.470153
160.1,-44.5,1112879.356,1112.879356
160.1,-43.5,1121522.926,1121.522926
160.1,-42.5,1130409.841,1130.409841
160.1,-41.5,1139549.263,1139.549263
160.1,-40.5,1148950.481,1148.950481
160.1,-39.5,1158622.837,1158.622837
160.1,-38.5,1168575.615,1168.575615
160.1,-37.5,1178817.911,1178.817911
160.1,-36.5,1189358.453,1189.358453
160.1,-35.5,1200205.374,1200.205374
160.1,-34.5,1211365.915,1211.365915
160.1,-33.5,1222846.95,1222.84695
160.1,-32.5,1234649.103,1234.649103
160.1,-31.5,1246779.65,1246.77965
160.1,-30.5,1259233.672,1259.233672
160.1,-29.5,1272006.7,1272.0067
160.1,-28.5,1285087.892,1285.087892
160.1,-27.5,1298459.416,1298.459416
160.1,-26.5,1312094.499,1312.094499
160.1,-25.5,1325954.747,1325.954747
160.1,-24.5,1339987.075,1339.987075
160.1,-23.5,1354119.729,1354.119729
160.1,-22.5,1368257.343,1368.257343
160.1,-21.5,1382275.103,1382.275103
160.1,-20.5,1396011.549,1396.011549
160.1,-19.5,1409260.317,1409.260317
160.1,-18.5,1421760.873,1421.760873
160.1,-17.5,1433188.743,1433.188743
160.1,-16.5,1443146.344,1443.146344
160.1,-15.5,1451156.368,1451.156368
160.1,-14.5,1456660.889,1456.660889
160.1,-13.5,1459031.045,1459.031045
160.1,-12.5,1457593.566,1457.593566
160.1,-11.5,1451682.035,1451.682035
160.1,-10.5,1440719.169,1440.719169
160.1,-9.5,1424331.753,1424.331753
160.1,-8.5,1402492.582,1402.492582
160.1,-7.5,1375661.199,1375.661199
160.1,-6.5,1344891.153,1344.891153
160.1,-5.5,1311853.122,1311.853122
160.1,-4.5,1278742.239,1278.742239
