water_depth_m,u_mid_m,Kz_N_per_m,Kz_kN_per_m
160.4,-12.5,81884.74696695543,81.88474696695543
160.4,-11.5,82189.82101271595,82.18982101271595
160.4,-10.5,82478.66447121005,82.47866447121005
160.4,-9.5,82751.41226398671,82.75141226398671
160.4,-8.5,83008.22072561509,83.00822072561509
160.4,-7.5,83249.26677437538,83.24926677437539
160.4,-6.5,83474.74700446513,83.47474700446513
160.4,-5.5,83684.87670690335,83.68487670690335
160.4,-4.5,83879.888829685,83.879888829685
160.4,-3.5,84060.03288519607,84.06003288519607
160.4,-2.5,84225.57381460127,84.22557381460128
160.4,-1.5,84376.79081832255,84.37679081832255
160.4,-0.5,84513.97616270828,84.51397616270827
160.4,0.5,84637.43397033845,84.63743397033845
160.4,1.5,84747.47900398854,84.74747900398854
160.4,2.5,84844.43545170611,84.84443545170612
160.4,3.5,84928.6357214438,84.9286357214438
160.4,4.5,85000.41925149958,85.00041925149958
160.4,5.5,85060.13134537604,85.06013134537604
160.4,6.5,85108.12203446016,85.10812203446017
160.4,7.5,85144.74497621134,85.14474497621134
160.4,8.5,85170.35639243548,85.17035639243548
160.4,9.5,85185.31404964296,85.18531404964295
160.5,-24.5,76903.15121705731,76.90315121705731
160.5,-23.5,77404.68518384454,77.40468518384455
160.5,-22.5,77890.22818647636,77.89022818647636
160.5,-21.5,78359.6312542143,78.35963125421429
160.5,-20.5,78812.76841853201,78.81276841853202
160.5,-19.5,79249.53722649234,79.24953722649234
160.5,-18.5,79669.85913430677,79.66985913430676
160.5,-17.5,80073.67978107253,80.07367978107253
160.5,-16.5,80460.96914187455,80.46096914187454
160.5,-15.5,80831.72155957835,80.83172155957836
160.5,-14.5,81185.95565486193,81.18595565486193
160.5,-13.5,81523.71411807173,81.52371411807172
160.5,-12.5,81845.06338378204,81.84506338378203
160.5,-11.5,82150.09319393284,82.15009319393285
160.5,-10.5,82438.91605302958,82.43891605302957
160.5,-9.5,82711.66658232438,82.71166658232438
160.5,-8.5,82968.50077954,82.96850077954001
160.5,-7.5,83209.59519107408,83.20959519107409
160.5,-6.5,83435.14600585788,83.43514600585789
160.5,-5.5,83645.36807803591,83.64536807803592
160.5,-4.5,83840.49388900261,83.84049388900262
160.5,-3.5,84020.7724567908,84.0207724567908
160.5,-2.5,84186.4682025076,84.1864682025076
160.5,-1.5,84337.85978291919,84.33785978291918
160.5,-0.5,84475.23889926788,84.47523889926788
160.5,0.5,84598.90908975127,84.59890908975126
160.5,1.5,84709.18451567128,84.70918451567128
160.5,2.5,84806.38874869187,84.80638874869187
160.5,3.5,84890.85356763497,84.89085356763498
160.5,4.5,84962.91777105475,84.96291777105475
160.5,5.5,85022.92601418594,85.02292601418594
160.5,6.5,85071.22767366265,85.07122767366265
160.5,7.5,85108.17574768142,85.10817574768143
160.5,8.5,85134.12579617689,85.13412579617689
160.5,9.5,85149.43492300768,85.14943492300768
160.6,-24.5,76865.8970001694,76.8658970001694
160.6,-23.5,77367.09428882395,77.36709428882395
160.6,-22.5,77852.32469166612,77.85232469166611
160.6,-21.5,78321.4394285972,78.32143942859719
160.6,-20.5,78774.31268159243,78.77431268159243
160.6,-19.5,79210.84210723614,79.21084210723613
160.6,-18.5,79630.94922964995,79.63094922964996
160.6,-17.5,80034.5797138092,80.03457971380921
160.6,-16.5,80421.70351843751,80.42170351843751
160.6,-15.5,80792.31492780459,80.79231492780458
160.6,-14.5,81146.43246197782,81.14643246197782
160.6,-13.5,81484.09866910528,81.48409866910528
160.6,-12.5,81805.37980060866,81.80537980060866
160.6,-11.5,82110.36537514975,82.11036537514975
160.6,-10.5,82399.16763484909,82.39916763484909
160.6,-9.5,82671.92090066207,82.67192090066206
160.6,-8.5,82928.7808334649,82.9287808334649
160.6,-7.5,83169.9236077728,83.1699236077728
160.6,-6.5,83395.54500725064,83.39554500725063
160.6,-5.5,83605.85944916846,83.60585944916846
160.6,-4.5,83801.0989483202,83.8010989483202
160.6,-3.5,83981.51202838554,83.98151202838554
160.6,-2.5,84147.36259041393,84.14736259041393
160.6,-1.5,84298.92874751582,84.29892874751582
160.6,-0.5,84436.50163582746,84.43650163582745
160.6,0.5,84560.38420916408,84.56038420916408
160.6,1.5,84670.89002735403,84.67089002735403
