index,pot_time,pot_maxima,Peak_period
12868,2004-10-22 00:00:00,1.1122140884399414,5.054542541503906
12882,2004-10-25 12:00:00,1.1703568696975708,4.851417541503906
12914,2004-11-02 12:00:00,1.4531450271606443,5.651710510253906
12958,2004-11-13 12:00:00,1.1709140539169312,4.866554260253906
12970,2004-11-16 12:00:00,1.0476255416870115,4.774757385253906
12982,2004-11-19 12:00:00,1.0089819431304932,4.680519104003906
12994,2004-11-22 12:00:00,1.0763182640075684,5.073585510253906
13034,2004-12-02 12:00:00,1.0748176574707031,4.787452697753906
13046,2004-12-05 12:00:00,1.8669977188110352,6.043312072753906
13058,2004-12-08 12:00:00,1.4224739074707031,5.753761291503906
13070,2004-12-11 12:00:00,1.2363815307617188,5.227394104003906
13086,2004-12-15 12:00:00,1.0042740106582642,4.728858947753906
13102,2004-12-19 12:00:00,1.181091547012329,5.132667541503906
13126,2004-12-25 12:00:00,1.641282081604004,5.718116760253906
13150,2004-12-31 12:00:00,1.4017810821533203,5.256202697753906
13166,2005-01-04 12:00:00,1.041435718536377,4.961280822753906
13205,2005-01-14 06:00:00,1.6462249755859375,5.776710510253906
13225,2005-01-19 06:00:00,1.5314970016479492,5.488136291503906
13237,2005-01-22 06:00:00,1.7531986236572266,5.707374572753906
13266,2005-01-29 12:00:00,1.315445899963379,5.182960510253906
13278,2005-02-01 12:00:00,1.8150949478149407,6.075050354003906
13322,2005-02-12 12:00:00,1.3018758296966553,5.231300354003906
13334,2005-02-15 12:00:00,1.3094182014465332,5.239112854003906
13346,2005-02-18 12:00:00,1.435412883758545,5.495460510253906
13358,2005-02-21 12:00:00,1.7278623580932615,5.963722229003906
13374,2005-02-25 12:00:00,1.6828374862670898,5.999366760253906
13402,2005-03-04 12:00:00,1.835784912109375,6.208839416503906
13418,2005-03-08 12:00:00,1.387346267700195,5.618507385253906
13430,2005-03-11 12:00:00,1.8142023086547847,6.130226135253906
13494,2005-03-27 12:00:00,1.0911245346069336,4.719581604003906
13506,2005-03-30 12:00:00,1.060164451599121,4.936378479003906
13557,2005-04-12 06:00:00,1.721588134765625,5.787940979003906
13577,2005-04-17 06:00:00,1.5165719985961914,5.441749572753906
13592,2005-04-21 00:00:00,1.2552413940429688,5.265480041503906
13605,2005-04-24 06:00:00,1.150303602218628,5.115577697753906
13654,2005-05-06 12:00:00,1.5640010833740234,5.273780822753906
13706,2005-05-19 12:00:00,1.0693539381027222,4.993507385253906
13751,2005-05-30 18:00:00,1.0639601945877075,4.686378479003906
13799,2005-06-11 18:00:00,1.3794689178466797,5.131202697753906
13835,2005-06-20 18:00:00,1.235048532485962,4.733253479003906
13847,2005-06-23 18:00:00,1.0763914585113523,4.005226135253906
13875,2005-06-30 18:00:00,1.8891544342041016,5.661476135253906
13887,2005-07-03 18:00:00,1.098706603050232,4.687355041503906
13903,2005-07-07 18:00:00,1.0870883464813232,4.533546447753906
13915,2005-07-10 18:00:00,1.655864715576172,5.453468322753906
13927,2005-07-13 18:00:00,1.3184163570404053,4.770851135253906
13943,2005-07-17 18:00:00,1.7917680740356443,5.618019104003906
13983,2005-07-27 18:00:00,1.4474050998687744,5.161720275878906
13999,2005-07-31 18:00:00,1.2217893600463867,4.736671447753906
14011,2005-08-03 18:00:00,1.4185800552368164,4.796974182128906
14031,2005-08-08 18:00:00,1.629837989807129,5.229103088378906
14175,2005-09-13 18:00:00,1.2518057823181152,4.810890197753906
14310,2005-10-17 12:00:00,1.1072208881378174,4.966651916503906
14330,2005-10-22 12:00:00,1.1353780031204224,5.132667541503906
14425,2005-11-15 06:00:00,1.428177833557129,5.225929260253906
14454,2005-11-22 12:00:00,1.258108377456665,5.233741760253906
14510,2005-12-06 12:00:00,1.1157865524291992,4.855812072753906
14522,2005-12-09 12:00:00,1.0813257694244385,4.758155822753906
14538,2005-12-13 12:00:00,1.1238255500793457,4.834327697753906
14550,2005-12-16 12:00:00,1.4197797775268557,5.524269104003906
14582,2005-12-24 12:00:00,1.4259462356567385,5.559425354003906
14606,2005-12-30 12:00:00,1.275920867919922,5.141456604003906
14618,2006-01-02 12:00:00,1.5789871215820312,5.729835510253906
14630,2006-01-05 12:00:00,2.0785064697265625,6.481788635253906
14642,2006-01-08 12:00:00,1.5968923568725586,5.718605041503906
14654,2006-01-11 12:00:00,1.275524377822876,5.207862854003906
14694,2006-01-21 12:00:00,1.5297622680664062,5.841651916503906
14714,2006-01-26 12:00:00,1.697035789489746,5.921241760253906
14734,2006-01-31 12:00:00,1.3719663619995115,5.246925354003906
14746,2006-02-03 12:00:00,2.184051513671875,6.694679260253906
14766,2006-02-08 12:00:00,1.6866722106933594,5.769386291503906
14786,2006-02-13 12:00:00,1.2124426364898682,5.119972229003906
14814,2006-02-20 12:00:00,1.1907086372375488,5.161964416503906
14842,2006-02-27 12:00:00,1.7540950775146484,5.963722229003906
14882,2006-03-09 12:00:00,1.290655255317688,5.206398010253906
14902,2006-03-14 12:00:00,1.0612130165100098,5.025245666503906
14950,2006-03-26 12:00:00,1.5293426513671875,5.685401916503906
14966,2006-03-30 12:00:00,1.0997436046600342,4.385597229003906
15010,2006-04-10 12:00:00,1.1378157138824463,4.780128479003906
15054,2006-04-21 12:00:00,1.2411240339279177,5.239112854003906
15090,2006-04-30 12:00:00,1.1101295948028564,4.929054260253906
15198,2006-05-27 12:00:00,1.3229730129241943,5.110206604003906
15219,2006-06-01 18:00:00,1.2295863628387451,4.796241760253906
15291,2006-06-19 18:00:00,1.0432050228118896,4.350440979003906
15306,2006-06-23 12:00:00,1.7249860763549805,5.562843322753906
15323,2006-06-27 18:00:00,1.1030068397521973,4.268898010253906
15335,2006-06-30 18:00:00,1.3587124347686768,5.085792541503906
15347,2006-07-03 18:00:00,1.0977399349212646,4.371437072753906
15375,2006-07-10 18:00:00,1.838334083557129,5.713722229003906
15391,2006-07-14 18:00:00,1.3335881233215332,5.064796447753906
15403,2006-07-17 18:00:00,1.0776280164718628,4.640968322753906
15419,2006-07-21 18:00:00,1.770167350769043,5.545753479003906
15479,2006-08-05 18:00:00,1.1463141441345217,4.748878479003906
15535,2006-08-19 18:00:00,1.1428890228271484,4.758644104003906
15749,2006-10-12 06:00:00,1.2416763305664062,5.196632385253906
15769,2006-10-17 06:00:00,1.6284856796264648,5.639015197753906
15782,2006-10-20 12:00:00,1.096870183944702,4.886085510253906
15806,2006-10-26 12:00:00,1.476825714111328,5.784523010253906
15826,2006-10-31 12:00:00,1.518230438232422,5.730323791503906
15870,2006-11-11 12:00:00,1.1483970880508425,5.048683166503906
15950,2006-12-01 12:00:00,1.1452279090881348,5.184425354003906
15970,2006-12-06 12:00:00,1.3551721572875977,5.335304260253906
16002,2006-12-14 12:00:00,1.3441295623779297,5.349952697753906
16026,2006-12-20 12:00:00,1.1287298202514648,4.859718322753906
16054,2006-12-27 12:00:00,1.2599201202392578,5.213722229003906
16082,2007-01-03 12:00:00,1.6931142807006836,6.010597229003906
16114,2007-01-11 12:00:00,1.7052202224731443,6.150245666503906
16150,2007-01-20 12:00:00,1.7213506698608398,6.018898010253906
16174,2007-01-26 12:00:00,1.7162809371948242,6.057472229003906
16186,2007-01-29 12:00:00,1.5879316329956057,5.759620666503906
16198,2007-02-01 12:00:00,1.1965856552124023,5.202491760253906
16210,2007-02-04 12:00:00,1.259875774383545,5.196632385253906
16222,2007-02-07 12:00:00,1.033247947692871,4.824562072753906
16238,2007-02-11 12:00:00,1.1353747844696045,5.040382385253906
16282,2007-02-22 12:00:00,1.4885377883911133,5.708839416503906
16310,2007-03-01 12:00:00,1.4786124229431152,5.464698791503906
16326,2007-03-05 12:00:00,1.6430273056030271,5.833351135253906
16338,2007-03-08 12:00:00,1.2623594999313354,5.177101135253906
16366,2007-03-15 12:00:00,1.446249008178711,5.601417541503906
16380,2007-03-19 00:00:00,1.7744464874267578,5.747413635253906
16402,2007-03-24 12:00:00,1.8777093887329104,6.227149963378906
16417,2007-03-28 06:00:00,1.0461877584457395,4.681495666503906
16442,2007-04-03 12:00:00,1.5214529037475586,5.794776916503906
16470,2007-04-10 12:00:00,1.2406730651855469,5.214210510253906
16489,2007-04-15 06:00:00,1.1486135721206665,4.684913635253906
16530,2007-04-25 12:00:00,1.5277156829833984,5.674171447753906
16553,2007-05-01 06:00:00,1.3694837093353271,5.179054260253906
16615,2007-05-16 18:00:00,1.1343846321105957,4.680519104003906
16691,2007-06-04 18:00:00,1.3308563232421875,5.059913635253906
16734,2007-06-15 12:00:00,1.3503789901733398,4.828956604003906
16746,2007-06-18 12:00:00,1.913385391235352,5.720802307128906
16759,2007-06-21 18:00:00,1.432373046875,5.185401916503906
16787,2007-06-28 18:00:00,1.1678555011749268,4.727882385253906
16799,2007-07-01 18:00:00,1.5104703903198242,5.189308166503906
16823,2007-07-07 18:00:00,1.4045342206954956,5.152687072753906
